"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-23","0.5",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-24","1.4",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-25","0.3",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-26","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-27","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-28","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-29","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-11-30","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-01","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-02","0.2",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-03","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-04","1.2",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-05","2.3",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-06","0.2",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-07","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-08","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-09","0.2",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-10","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-11","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-12","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-13","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-14","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-15","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-16","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-17","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-18","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-19","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-20","0.5",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-21","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-22","1.8",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-23","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-24","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-25","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-26","0.8",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-27","2.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-28","0.9",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-29","0.4",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-30","0.2",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1940-12-31","0.6",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-01","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-02","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-03","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-04","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-05","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-06","0.0","T,,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-07","0.7",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-08","0.0","T,,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-09","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-10","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-11","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-12","0.2",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-13","0.4",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-14","0.5",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-15","0.0","T,,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-16","0.0","T,,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-17","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-18","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-19","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-20","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-21","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-22","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-23","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-24","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-25","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-26","0.2",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-27","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-28","0.6",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-29","0.4",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-30","1.1",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-01-31","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-01","0.2",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-02","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-03","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-04","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-05","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-06","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-07","0.8",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-08","3.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-09","1.4",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-10","1.1",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-11","0.4",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-12","0.3",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-13","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-14","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-15","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-16","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-17","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-18","0.5",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-19","0.2",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-20","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-21","0.6",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-22","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-23","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-24","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-25","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-26","0.1",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-27","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-02-28","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-01","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-02","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-03","0.3",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-04","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-05","0.2",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-06","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-07","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-08","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-09","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-10","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-11","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-12","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-13","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-14","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-15","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-16","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-17","0.3",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-18","1.3",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-19","0.0","T,,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-20","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-21","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-22","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-23","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-24","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-25","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-26","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-27","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-28","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-29","0.8",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-30","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-03-31","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-01","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-02","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-03","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-04","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-05","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-06","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-07","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-08","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-09","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-10","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-11","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-12","0.2",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-13","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-14","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-15","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-16","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-17","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-18","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-19","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-20","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-21","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-22","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-23","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-24","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-25","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-26","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-27","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-28","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-29","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-04-30","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-01","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-02","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-03","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-04","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-05","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-06","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-07","0.7",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-08","0.5",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-09","0.5",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-10","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-11","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-12","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-13","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-14","0.6",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-15","0.4",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-16","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-17","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-18","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-19","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-20","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-21","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-22","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-23","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-24","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-25","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-26","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-27","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-28","0.5",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-29","1.1",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-30","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-05-31","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-01","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-02","7.9",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-03","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-04","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-05","0.1",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-06","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-07","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-08","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-09","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-10","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-11","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-12","0.3",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-13","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-14","0.1",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-15","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-16","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-17","0.2",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-18","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-19","1.5",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-20","0.1",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-21","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-22","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-23","5.7",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-24","0.2",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-25","0.5",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-26","1.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-27","1.3",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-28","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-29","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-06-30","6.7",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-07-01","3.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-07-02","0.3",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-07-03","2.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-07-04","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-07-05","0.0",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-07-06","1.9",",,I",,,,,,,,
"RSM00025123","CHERSKIJ, RS","68.75","161.283","28.0","1941-07-07","2.5",",,I",,,,,,,,
